จำนวนนิสิต นักศึกษาระดับอุดมศึกษา (ปริญญาตรี) ในระบบโรงเรียน จำแนกตามสังกัด ปีการศึกษา 2556 - 2560,,,,,
หน่วย: คน,,,,,
สังกัด,2556,2557,2558,2559,2560
รวมทั้งหมด,"1,870,738","1,825,740","1,836,286","1,790,341","1,735,256"
กระทรวงศึกษาธิการ,"1,825,904","1,780,682","1,790,960","1,743,411","1,689,026"
    สำนักงานคณะกรรมการการอาชีวศึกษา,204,"1,266","3,656","6,916","8,926"
    สำนักงานคณะกรรมการการอุดมศึกษา,"1,825,700","1,779,416","1,787,304","1,736,438","1,680,100"
ส่วนราชการอื่น,"44,834","45,058","45,326","46,930","46,230"
    กระทรวงการท่องเที่ยวและกีฬา,"18,591","17,620","16,876","17,480","15,495"
    กระทรวงวัฒนธรรม,"3,374","3,212","3,630","3,344","3,363"
    กระทรวงสาธารณสุข สำนักงานปลัดกระทรวง,"15,499","16,771","17,343","17,741","18,667"
    องค์กรในกำกับขึ้นตรงนายกรัฐมนตรี,"1,117","1,109","1,091","1,123","1,385"
    กระทรวงกลาโหม,"2,765","2,762","2,773","3,350","3,415"
    กระทรวงคมนาคม,"2,201","2,276","2,302","2,558","2,492"
    กรุงเทพมหานคร,"1,287","1,308","1,311","1,334","1,413"
       ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ กระทรวงศึกษาธิการ,,,,,
